,artist_name,RelatedArtist_Name,rank,external_urls__spotify,followers__total,genres__001,genres__002,genres__003,genres__004,genres__005,id,Large_image,Medium_image,Small_image,popularity,type
159,17 Memphis,Drew Baldridge,20,https://open.spotify.com/artist/08qaG5crPMPF7i0h2wORk5,21607,contemporary country,country pop,,,,08qaG5crPMPF7i0h2wORk5,https://i.scdn.co/image/f09f2138972637365c65bbcf2b254ba9829b3a22,https://i.scdn.co/image/3165611338edc71ea9fbfc50ef6db35595279b40,https://i.scdn.co/image/9b51152ff4ea0e7488416582be9555b7405a0564,46,artist
160,1951,Andromedik,1,https://open.spotify.com/artist/7miXLG9boDOGHJaEelSL7T,10126,gaming edm,speedrun,,,,7miXLG9boDOGHJaEelSL7T,https://i.scdn.co/image/d617dc5d84e9fcb4221733aab992cbc0e66cca2f,https://i.scdn.co/image/7f721ef49e5f8eca4e79330b08402a8187dbbcce,https://i.scdn.co/image/0020059a2df7b050c2261d8e1730a2d1153f3aaa,52,artist
161,1951,Grafix,2,https://open.spotify.com/artist/27YdXZOMLqvxI2pB5GyqyY,22181,deep liquid,drum and bass,liquid funk,uk dnb,,27YdXZOMLqvxI2pB5GyqyY,https://i.scdn.co/image/003aff3ba5f1899d9149b51ea6f6db559fec8167,https://i.scdn.co/image/b7367939ecc00d64824fc298c7d2864c56d5f598,https://i.scdn.co/image/6388fc3d1fb9c405c4e7c94940578c7350fcbfa7,51,artist
162,1951,Kove,3,https://open.spotify.com/artist/4cxzGdmQtUZJL1WYOdFQ5F,27409,drum and bass,liquid funk,neurostep,,,4cxzGdmQtUZJL1WYOdFQ5F,https://i.scdn.co/image/2ffb99cc29ccfd92160735cf2f18ec1bc7b36ec9,https://i.scdn.co/image/8acf3200e2ab8b676080f825c08c8495446990cf,https://i.scdn.co/image/5a5493503a169b23f252dc5609b34f7c32ee35bf,50,artist
163,1951,Cyantific,4,https://open.spotify.com/artist/1fAFVmxFjwB872XsEUomIK,23917,drum and bass,jump up,liquid funk,,,1fAFVmxFjwB872XsEUomIK,https://i.scdn.co/image/828dc1b9be0ce2ab0139d3460713f05ce8250996,https://i.scdn.co/image/07971827f87b76c67435e978c3a8d2e8e9d84ca4,https://i.scdn.co/image/df41083ec22e372a56c8de605ba8ec04dba8770d,43,artist
164,1951,Tantrum Desire,5,https://open.spotify.com/artist/7HBMCyflAmijk08T1si9wS,32750,drum and bass,jump up,liquid funk,,,7HBMCyflAmijk08T1si9wS,https://i.scdn.co/image/bbe704b70af7613fd09a88f610d2d8ef582be1fb,https://i.scdn.co/image/d5b8a00ff9191c14afba83324810b973d81bcec6,https://i.scdn.co/image/3958243a908585edacc98ccd906e039e62bc35e8,48,artist
165,1951,Culture Shock,6,https://open.spotify.com/artist/6lp2VnIRXXpC9Wz7hSX6RE,45733,drum and bass,jump up,liquid funk,uk dnb,,6lp2VnIRXXpC9Wz7hSX6RE,https://i.scdn.co/image/bde292f97b83ec4c0f4a14c851f702a6f2923d61,https://i.scdn.co/image/b1bd6f1233784b5aba861d92b48692b73aa76142,https://i.scdn.co/image/108385a46a156e29b1f3d3dd5b1b7d204cef356a,58,artist
166,1951,Friction,7,https://open.spotify.com/artist/5xdizdgbQQvGAgAolGhpXr,56529,bass house,drum and bass,jump up,liquid funk,uk dnb,5xdizdgbQQvGAgAolGhpXr,https://i.scdn.co/image/9863952a6409ee54345e23772e1636b1a9d0a902,https://i.scdn.co/image/8c14f05b83d4ad80eeb6a09be36e38aee6797c4f,https://i.scdn.co/image/52cec91ee22b885043e1d38e0bc0cee1c9880cae,57,artist
167,1951,The Prototypes,8,https://open.spotify.com/artist/7F6nxkPQrlh4qWDetjgnpX,52714,drum and bass,jump up,liquid funk,,,7F6nxkPQrlh4qWDetjgnpX,https://i.scdn.co/image/17cefe5e4213c05f429fb334193f4a638c2534af,https://i.scdn.co/image/b79fa75b1e4d28c33bf64d3ac841b90d2123e3bc,https://i.scdn.co/image/8ddde504a814c4918de14c69da421ebd7e154d11,50,artist
168,1951,Murdock,9,https://open.spotify.com/artist/501MfkAIop4dRLvOqjlMHl,9109,belgian edm,drum and bass,jump up,,,501MfkAIop4dRLvOqjlMHl,https://i.scdn.co/image/b8be97986f8b8e888c8b72eded4442814e81c77e,https://i.scdn.co/image/52d26c0949eabcf05f40354b39b6470e13d8fa93,https://i.scdn.co/image/4ddbc2baf50f26c1a595bb76a0ad2cbef4c1772d,48,artist
169,1951,Flowidus,10,https://open.spotify.com/artist/410Yzyq0DmhJImIxqy5wOC,4088,nz electronic,,,,,410Yzyq0DmhJImIxqy5wOC,https://i.scdn.co/image/bd786663be3d430777f67696553a8b68870d7356,https://i.scdn.co/image/accb1ca245e2d9f6aac3daef266a2e91bf7ae4ac,https://i.scdn.co/image/c378c4f7d092cc6fed912ce9a2cdc349253db9e0,47,artist
170,1951,Kanine,11,https://open.spotify.com/artist/1KiNUGL3r0GgyLwqYCY1yV,27167,bass house,drum and bass,,,,1KiNUGL3r0GgyLwqYCY1yV,https://i.scdn.co/image/df21c54d5f8ed64378d0eed59daaad8db4e57c91,https://i.scdn.co/image/fcb2729dc0ffd67a5e116511551d9c34077cda49,https://i.scdn.co/image/74d928484e7915a1e5be8c7bc1304aec1ae3106c,58,artist
